year,src_area_short,tar_area_short,cnt
2022,47230,11110,6
2022,47230,11140,7
2022,47230,11170,6
2022,47230,11200,9
2022,47230,11215,21
2022,47230,11230,20
2022,47230,11260,12
2022,47230,11290,14
2022,47230,11305,11
2022,47230,11320,11
2022,47230,11350,10
2022,47230,11380,15
2022,47230,11410,14
2022,47230,11440,18
2022,47230,11470,12
2022,47230,11500,17
2022,47230,11530,12
2022,47230,11545,15
2022,47230,11560,23
2022,47230,11590,29
2022,47230,11620,52
2022,47230,11650,7
2022,47230,11680,21
2022,47230,11710,12
2022,47230,11740,18
2022,47230,26110,4
2022,47230,26140,8
2022,47230,26170,5
2022,47230,26200,8
2022,47230,26230,41
2022,47230,26260,30
2022,47230,26290,39
2022,47230,26320,16
2022,47230,26350,37
2022,47230,26380,20
2022,47230,26410,34
2022,47230,26440,19
2022,47230,26470,12
2022,47230,26500,13
2022,47230,26530,16
2022,47230,26710,14
2022,47230,27110,82
2022,47230,27140,582
2022,47230,27170,77
2022,47230,27200,137
2022,47230,27230,367
2022,47230,27260,439
2022,47230,27290,310
2022,47230,27710,127
2022,47230,28110,10
2022,47230,28140,2
2022,47230,28177,15
2022,47230,28185,13
2022,47230,28200,20
2022,47230,28237,12
2022,47230,28245,7
2022,47230,28260,15
2022,47230,28710,3
2022,47230,29110,1
2022,47230,29140,4
2022,47230,29155,3
2022,47230,29170,7
2022,47230,29200,7
2022,47230,30110,16
2022,47230,30140,5
2022,47230,30170,22
2022,47230,30200,35
2022,47230,30230,6
2022,47230,31110,32
2022,47230,31140,55
2022,47230,31170,45
2022,47230,31200,61
2022,47230,31710,55
2022,47230,36110,28
2022,47230,41111,3
2022,47230,41113,17
2022,47230,41115,11
2022,47230,41117,20
2022,47230,41131,8
2022,47230,41133,6
2022,47230,41135,12
2022,47230,41150,14
2022,47230,41171,12
2022,47230,41173,10
2022,47230,41190,16
2022,47230,41210,2
2022,47230,41220,43
2022,47230,41250,1
2022,47230,41271,14
2022,47230,41273,13
2022,47230,41281,26
